id,date_ref,tipo,localizacao,secretaria_regional,prox_orla,prox_centro,faixa_preco,area,quartos,banheiros,vagas,preco,preco_m2,condo,ingestion_timestamp
00104717248afd527ab57d6c1d0703f1f904315b3fe1decb7e053a1788b1cf32,2025-04,Apartamento,Papicu,2,Não,Não,2,102,3,3,2,340000.0,3333.33,1080.0,2025-05-27 00:02:45.591000-03:00
002f0ccb3aa711bda92fc9303af6c9d51868e61e54700f5527e011723745694e,2025-04,Casa,Granja Portugal,5,Não,Não,2,198,7,5,1,280000.0,1414.14,0.0,2025-05-27 00:02:45.591000-03:00
0124163340768fe13ad5423542cbbfe5a3ea418c0ca065a9abecb16d1d38500a,2025-05,Casa,Mondubim,10,Não,Não,2,196,4,3,2,240000.0,1224.49,0.0,2025-05-27 00:02:45.591000-03:00
014635250f301e79c973834d6452dc960f3680e6ecd0158ca7fb28cf8bb024d6,2025-05,Casa,José de Alencar,6,Não,Não,3,98,3,4,2,650000.0,6632.65,14300.0,2025-05-27 00:02:45.591000-03:00
015ba6a33b4dc56b573be3494f9cbc8144ffc9ced9bd1970d430fa6169314660,2025-05,Condomínio,Cajazeiras,9,Não,Não,4,250,4,5,4,1100000.0,4400.0,0.0,2025-05-27 00:02:45.591000-03:00
0161230e38e0a9931f675ce8561fb5c994a483c07360bbd6ff7d3e1e558356f6,2025-05,Casa,Mondubim,10,Não,Não,2,500,3,4,2,490000.0,980.0,0.0,2025-05-27 00:02:45.591000-03:00
016255319bd0fe0c7d9d92e00355a6dd0b415b519dd59566f639fabcbcb585d9,2025-04,Casa,Parquelândia,3,Não,Não,3,250,3,3,2,698000.0,2792.0,0.0,2025-05-27 00:02:45.591000-03:00
017c5fd6fee5e607bdf98b59943abcb5a1382701429eb4440ad2fca0d8f05bdb,2025-05,Apartamento,Salinas,7,Não,Não,3,110,3,4,2,950000.0,8636.36,0.0,2025-05-27 00:02:45.591000-03:00
01ab432b1b28b7d4b6dc87fa659a6101c8047f40d833cd44efc99e3e59b99856,2025-05,Casa,Sapiranga,7,Não,Não,3,188,4,5,4,545000.0,2898.94,1000.0,2025-05-27 00:02:45.591000-03:00
026c9756ceabdcab42c5ac4c15eb50cf5cba694b709a068a92f684d652539e85,2025-05,Condomínio,Lagoa Redonda,6,Não,Não,2,70,2,2,2,260000.0,3714.29,0.0,2025-05-27 00:02:45.591000-03:00
027fb442baac25e1a7a83ab993786c651b34bc40b7cba92eae5621c777ea6849,2025-04,Apartamento,Aldeota,2,Não,Sim,4,117,3,4,2,1400000.0,11965.81,1200.0,2025-05-27 00:02:45.591000-03:00
02a47c92f76e23d385028bb1e789a783a2bac39f63bda6cba2655a73d5fe418d,2025-04,Apartamento,Aldeota,2,Não,Sim,3,155,4,4,2,880000.0,5677.42,1620.0,2025-05-27 00:02:45.591000-03:00
02a5a9ec9f0d8ac678c03c1495a1fded26b34ed2ca89bef46e34a4043006634d,2025-04,Casa,Álvaro Weyne,1,Não,Não,2,110,2,1,1,245000.0,2227.27,0.0,2025-05-27 00:02:45.591000-03:00
02e43e0fe29020676ba031bf7e490308102ed1f55fddb5cc740f4c5d027bd4a9,2025-05,Apartamento,Aldeota,2,Não,Sim,2,35,1,1,1,437000.0,12485.71,0.0,2025-05-27 00:02:45.591000-03:00
02ef39f8de9ecfa6e0c012e25251de6d3ba52eec656f867cd6901b614b491bb5,2025-04,Apartamento,Engenheiro Luciano Cavalcante,7,Não,Não,3,72,3,3,2,640000.0,8888.89,680.0,2025-05-27 00:02:45.591000-03:00
039600d2e50633a45beef77b2962e76b1b062d65ecf60943f1b713e7ed60214e,2025-05,Condomínio,Cajazeiras,9,Não,Não,4,250,4,5,4,1100000.0,4400.0,0.0,2025-05-27 00:02:45.591000-03:00
03a50d0b0963e6d2568b2e794a33f2d1ea5597cdda721dc9d396f915a1b97f77,2025-05,Casa,Rodolfo Teófilo,3,Não,Não,3,273,3,3,3,510000.0,1868.13,0.0,2025-05-27 00:02:45.591000-03:00
040168e0f73919b364136f5544d4396912fb4eb566a4a00086f2b5da393cc992,2025-05,Condomínio,Damas,4,Não,Não,3,275,4,4,5,1000000.0,3636.36,0.0,2025-05-27 00:02:45.591000-03:00
042491fe0547d98768030fa3d27517a8fdf1800f48ab67b5957ef36449771f49,2025-04,Apartamento,Parreão,4,Não,Não,2,60,2,1,1,280000.0,4666.67,0.0,2025-05-27 00:02:45.591000-03:00
04a6a6e31dfe72b9903d13d98979eff7d930c8191080772d34a6125ea99710b6,2025-04,Apartamento,Engenheiro Luciano Cavalcante,7,Não,Não,4,110,4,3,2,1050000.0,9545.45,800.0,2025-05-27 00:02:45.591000-03:00
